"id","naam","adres","latitude","longitude","capaciteit","free_slots","parked_bikes"
"525ca38772df71e463f4a94f0cae6de0","137- Sint-Laureiskaai","napeleonkaai/Nassaustraat",51.22978,4.40575,36,17,19
"526f1ecb92adce2ccad72d532294adbd","139- Londenstraat","Londenstraat",51.23105,4.41267,21,14,7
"5276d56532d12bc99b67749364415d4b","232- Wim Saerens","Wim Saerensplein",51.22849,4.47867,35,23,12
"52f557af4589cdff97d934948cdc75b9","209- Melgeshof","Korte Bremstraat",51.25644,4.44715,36,33,3
"54dd111e10f1cbf66917da1069146c2d","247- ZNA Sint Erasmus","Luitenant Lippenslaan",51.20832,4.44595,35,29,6
"54e8129eb73fbee75a2b440ef5fbd28e","241- Kerkendijk","Collegelaan",51.21333,4.45333,35,31,4
"55f406d3e5482d93936e9c9847bc66e4","207- P&R Merksem","Bredabaan",51.25812,4.46196,35,27,8
"58f495a8d55f23369af7b8f213964c49","166 - Schoenmarkt","Schoenmarkt",51.21831,4.40331,33,17,16
"5904c8f722781fcd65a41587562264b1","230- Bosuil","Bosuil",51.22909,4.46191,35,18,17
"5982204a7ce11d9dcf4be892b2d963a9","314 - Schoonselhof","Sint-Bernardsesteenweg",51.1691,4.36328,35,24,11
"5c038aabd16839dc3a8bb25cf636f7fa","313 - Eksterlaar","Constant Jorislaan",51.20051,4.47024,34,32,2
"5c805ff364bfa86799de97c352c48d06","309 - De Torekens","Paul Henri Spaaklaan",51.17089,4.3496,34,17,17
"5cb627281b82723cd7c40b2d9a36773b","067- Oudaan","Oudaan n° 14",51.21578,4.40314,36,15,21
"5ce86c7724471b85eb1c542f3f7c911e","084- Elzenveld","Lange Gasthuisstraat ro n° 3",51.21344,4.40497,33,5,28
"5d46f188be4295466ec7ff02b9f1bb01","330 - Meerlenhof","Meerlenhoflaan",51.17234,4.35626,36,31,5
"5e0e6138ee09b376285afc0bd51aaa04","013- De Singel 1","Jan van rijswijcklaan aan bedrijf DE SINGEL",51.19388,4.40225,35,15,20
"5e452c2fad32d31111a4fdc8e17478d4","234- Deurne Atheneum","Jan Brochovenstraat",51.2222,4.46118,35,20,15
"5e99fdf4609a9b8e802338cb573d484f","141- Sint-Anna","Gloriantlaan/Kastanjedreef",51.23525,4.38688,36,21,15
"5f07b9d91b23b834d7e818bbc9a892e9","240- Park Groot Schijn","Ruggeveldlaan",51.21757,4.48212,34,18,16
"60cad86e79ead03c0b9fa34654619f7b","048- De Keyserlei 2","De Keyserlei",51.2173,4.42015,33,8,25
"6117743623f657278e654147472aa23e","257- Hofstade","Hofstadestraat",51.19233,4.44875,36,35,1
"621c71eb492fbdb89d11ec2d589bc40c","279- Ieperman","Doornstraat",51.16868,4.39438,36,28,8
"633818b891c26a1a080c815a9dc8a59f","217- Joske Vermeulen","Bredabaan",51.24917,4.45468,29,10,19
"63c6c42e264d3e80f120e8c6211baa1d","311 - Cockerillhof","Cockerillplaats",51.17455,4.34423,34,31,3
"63cbc0a8fad4092cf835b4df9e36e546","055- Zonnebloemstraat","Vredestraat/Zonnebloemstraat",51.19698,4.42823,33,33,0
"6439056b4dfacb555c9cbae1546c8c2a","175 - Asiadok","Asiadok-oostkaai / Noorderlaan",51.23518,4.4202,36,33,3
"648365195aa1700e3b8066816842e125","113- Helmstraat","Vercammenstraat - Helmstraat",51.21861,4.43862,36,34,2
"64ce845b3881bc9bd9b10da5f568fba1","146- Reinaartlaan","Gloriantlaan/Reinaartlaan",51.22778,4.38589,33,27,6
"6576bcb7887a0c72e2e6c010c4020f43","219- Districtshuis Merksem","Borrewaterstraat",51.24216,4.44252,33,4,29
"661195665ea44edfe9e7564551ccebf3","340 - Dokter Donny","Dokter Donnyplein",51.16813,4.40497,34,23,11
"6671c205995d3ab44ec15081850c63cd","270- Dikke Mee","Eglantierlaan",51.18645,4.40427,34,31,3
"66efed4f054fcd95d121faebbd5a21eb","302- Rozenkrans","Rozenkrans",51.17904,4.39048,29,8,21
