X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
489216.65852286,6651501.29097959,85390,VELOSTATION,DUBBELZIJDIG,PLEIN,Bist,,,Wilrijk,2610,VE_0000274,IN_GEBRUIK,30,274 De Bist
490172.364826791,6652199.27767013,85391,VELOSTATION,DUBBELZIJDIG,VOETPAD,Groenenborgerlaan,17,,Wilrijk,2610,VE_0000275,IN_GEBRUIK,36,275 Sneeuwbes
489142.590914402,6653828.59540821,85392,VELOSTATION,DUBBELZIJDIG,PLEIN,Kruishofstraat,140,to 140,Wilrijk,2610,VE_0000276,IN_GEBRUIK,36,276 Corbusier
489781.127061854,6652673.35688859,85393,VELOSTATION,ENKELZIJDIG,VOETPAD,Ahornenlaan,1,,Wilrijk,2610,VE_0000277,IN_GEBRUIK,36,277 Ahornen
489127.512127987,6650598.42330734,85394,VELOSTATION,DUBBELZIJDIG,GROENZONE,Oversneslaan,54,,Wilrijk,2610,VE_0000278,IN_GEBRUIK,36,278 Oversnes
489191.554475812,6651094.17893851,85395,VELOSTATION,DUBBELZIJDIG,PLEIN,Doornstraat,2,naast 2,Wilrijk,2610,VE_0000279,IN_GEBRUIK,36,279 Ieperman
487846.074250356,6652612.501008,85396,VELOSTATION,DUBBELZIJDIG,GROENZONE,Bosheidelaan,,hoek Rooiboslaan,Wilrijk,2610,VE_0000280,IN_GEBRUIK,36,280 Marmotteke
488176.545469121,6653632.66081881,85397,VELOSTATION,DUBBELZIJDIG,GROENZONE,Hof Van Tichelen,30,naast 30,Antwerpen,2020,VE_0000281,IN_GEBRUIK,36,281 Hof van Tichelen
487695.059968425,6653244.94166435,85398,VELOSTATION,DUBBELZIJDIG,VOETPAD,Letterkundestraat,59-63,basis school de letter,Wilrijk,2610,VE_0000282,IN_GEBRUIK,36,282 De Letter
486682.977310286,6653493.79295666,85399,VELOSTATION,DUBBELZIJDIG,PLEIN,Hollebeekstraat,25-27,to 25-27,Hoboken,2660,VE_0000283,IN_GEBRUIK,36,283 Hollebeek
485819.485303975,6653778.05651533,85400,VELOSTATION,DUBBELZIJDIG,VOETPAD,Steynstraat,297-299,,Hoboken,2660,VE_0000284,IN_GEBRUIK,36,284 Steynstraat
484046.296372767,6653655.20274285,85401,VELOSTATION,ENKELZIJDIG,PLEIN,Berkenrodelei,150,naast 150,Hoboken,2660,VE_0000286,BUITEN_GEBRUIK,36,286 Station Hoboken/Polderstad
484246.938832715,6652800.89192656,85402,VELOSTATION,DUBBELZIJDIG,VOETPAD,Berkenrodelei,2,,Hoboken,2660,VE_0000287,IN_GEBRUIK,36,287 Kioskplaats/Centrum
485334.035728273,6652716.03025196,85403,VELOSTATION,DUBBELZIJDIG,GROENZONE,Draaiboomstraat,44,to 44,Hoboken,2660,VE_0000288,IN_GEBRUIK,36,288 Draaiboom
484480.723031521,6652045.51009905,85404,VELOSTATION,DUBBELZIJDIG,VOETPAD,Walstraat,5-7,to 5-7,Hoboken,2660,VE_0000289,IN_GEBRUIK,36,289 Broydenborgpark
486220.485111618,6652526.66490496,85405,VELOSTATION,DUBBELZIJDIG,GROENZONE,Sint-Bernardsesteenweg,886,to 886,Hoboken,2660,VE_0000290,IN_GEBRUIK,36,290 Coöperatielaan
486764.015084873,6654715.15672522,85406,VELOSTATION,DUBBELZIJDIG,GROENZONE,Maurits Sabbelaan,16-18,to 16-18,Antwerpen,2020,VE_0000291,IN_GEBRUIK,36,291 Braem blokken
487689.018236432,6655104.11751481,85407,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jacob Le Mairestraat,8,naast 8 aan keerlus,Antwerpen,2020,VE_0000292,IN_GEBRUIK,36,292 Kielpark
488794.788744842,6654695.18461383,85408,VELOSTATION,ENKELZIJDIG,PLEIN,Pol De Montstraat,10,to 10 oh plein,Antwerpen,2020,VE_0000293,IN_GEBRUIK,36,293 Edgard Castelein
487226.56415561,6655171.06970605,85409,VELOSTATION,ENKELZIJDIG,PLEIN,Valerius De Saedeleerstraat,2,to 2,Antwerpen,2020,VE_0000294,IN_GEBRUIK,36,294 Den Tir
487504.921392114,6655735.35870084,85410,VELOSTATION,ENKELZIJDIG,GROENZONE,Emiel Vloorsstraat,,hoek August Leysweg,Antwerpen,2020,VE_0000295,IN_GEBRUIK,36,295 Sporthal Kiel
489034.259004456,6655697.92948288,85411,VELOSTATION,DUBBELZIJDIG,GROENZONE,Eric Sasselaan,69,to 69,Antwerpen,2020,VE_0000296,IN_GEBRUIK,30,296 Mastvest
488570.596800036,6655091.73592432,85412,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jan De Voslei,,thv C Huysmanslaan,Antwerpen,2020,VE_0000297,IN_GEBRUIK,36,297 Tentoonstellingswijk
487855.221667427,6651752.40908648,85413,VELOSTATION,ENKELZIJDIG,VOETPAD,Valkstraat,,thv Gaston Fabrelaan,Wilrijk,2610,VE_0000298,IN_GEBRUIK,27,298 Koornbloem
489589.270430054,6655319.32405486,85414,VELOSTATION,ENKELZIJDIG,GROENZONE,Camille Huysmanslaan,,thv J V Rijswijcklaan,Antwerpen,2020,VE_0000299,IN_GEBRUIK,36,299 Antwerp Expo
489505.764549247,6654856.73892743,85415,VELOSTATION,DUBBELZIJDIG,GROENZONE,Vogelzanglaan,,thv voetbalveld,Antwerpen,2020,VE_0000300,IN_GEBRUIK,36,300 Wilrijksepleinen
495415.963832284,6654735.91288649,85416,VELOSTATION,DUBBELZIJDIG,PLEIN,Luchthavenlei,1,Op de parking van de luchthaven,Deurne,2100,VE_0000301,IN_GEBRUIK,30,301 Luchthaven
488742.933482606,6653035.77225894,85417,VELOSTATION,DUBBELZIJDIG,PLEIN,Rozenkransplein,11,to 11 oh plein,Wilrijk,2610,VE_0000302,IN_GEBRUIK,30,302 Rozenkrans
484558.676441286,6653883.00409323,85418,VELOSTATION,ENKELZIJDIG,VOETPAD,Commandant Weynsstraat,,,Hoboken,2660,VE_0000285,IN_GEBRUIK,27,285 Hoge beuken
490742.043411816,6663891.51087789,85419,VELOSTATION,ENKELZIJDIG,VOETPAD,Mexicostraat,thv 37,nieuw havenhuis,Antwerpen,2030,VE_0000221,IN_GEBRUIK,36,221 Havenhuis
490945.315498293,6663495.72450633,85420,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Kambalastraat,2,,Antwerpen,2030,VE_0000303,IN_GEBRUIK,36,303 Kambala
493600.830671822,6663877.5191061,85421,VELOSTATION,DUBBELZIJDIG,GROENZONE,Campiniastraat,50,,Merksem,2170,VE_0000304,IN_GEBRUIK,36,304 Campinia
492652.905944651,6661373.87124174,85422,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Van Kerckhovenstraat,74,,Antwerpen,2060,VE_0000156,IN_GEBRUIK,30,156 Gasstraat
